"egoid","altid"
4,24
13,26
23,26
3,27
19,33
18,37
9,38
31,46
5,48
20,50
10,56
55,58
13,61
20,61
54,61
13,64
17,64
31,64
24,65
2,68
10,68
52,68
6,74
27,76
29,82
4,83
31,83
46,85
75,85
6,87
45,87
1,91
18,92
24,94
21,96
53,97
60,97
72,100
36,102
62,102
93,104
41,105
47,107
91,109
18,110
6,111
9,112
85,113
113,114
25,118
100,123
33,125
36,125
1,127
34,127
16,128
90,128
111,128
47,130
124,132
90,133
63,136
10,137
7,140
41,140
118,140
68,141
48,142
88,142
19,143
8,145
21,145
120,146
1,147
142,147
117,149
135,150
42,153
107,153
13,154
14,154
23,154
18,155
118,155
79,156
12,157
68,158
101,158
147,158
13,159
89,159
11,160
83,160
106,160
26,161
9,162
37,162
45,162
90,162
143,163
89,164
110,164
12,166
138,167
139,168
152,169
167,170
114,171
90,172
62,173
36,175
148,175
158,175
75,176
120,176
127,176
144,176
1,177
20,180
94,181
168,181
113,182
83,183
82,184
30,186
66,187
10,191
58,191
173,191
65,192
134,193
148,193
53,194
118,194
153,194
24,195
190,195
95,196
98,197
181,197
79,198
98,198
18,199
74,200
92,200
187,200
61,201
51,204
106,204
121,204
64,205
184,208
128,210
134,210
164,210
86,212
121,212
20,213
21,215
208,215
178,216
58,217
113,217
49,218
92,218
211,218
7,219
175,219
204,219
102,220
197,220
145,221
118,222
121,222
141,222
188,222
140,223
160,223
75,225
6,226
11,226
203,226
121,228
189,228
119,229
133,229
136,230
222,230
176,232
10,233
64,234
138,234
17,235
110,235
12,236
38,236
230,236
39,237
168,237
178,238
36,239
110,239
23,240
74,240
188,240
77,242
3,243
62,243
110,245
133,245
234,245
143,246
198,246
226,246
68,247
129,247
228,247
32,248
162,248
23,250
130,250
203,251
247,251
68,253
190,253
224,253
60,255
231,255
79,256
89,257
181,257
232,257
237,257
149,258
216,258
246,258
61,259
67,259
168,259
9,260
112,260
192,260
33,261
55,262
241,262
77,263
78,263
95,263
177,263
33,264
24,265
165,265
49,267
133,268
218,268
221,268
63,269
178,269
70,271
138,271
189,271
99,272
113,272
112,274
200,274
32,275
95,275
121,275
128,275
208,275
268,275
23,276
147,276
98,279
199,279
13,280
17,280
70,280
124,280
128,280
134,280
204,280
209,280
11,281
139,282
192,282
11,283
71,283
225,283
34,284
79,284
163,284
213,284
44,285
226,285
138,287
147,287
179,287
246,287
232,288
258,288
85,289
102,289
215,289
73,292
182,292
212,292
225,293
26,294
58,295
103,295
4,296
75,296
88,296
256,297
283,297
10,298
63,298
139,298
25,299
155,299
12,300
67,300
211,300
29,302
248,302
254,303
76,305
83,306
129,306
154,306
37,308
45,308
206,308
232,308
48,309
87,309
174,309
115,310
179,310
254,310
82,311
294,311
55,312
209,312
251,312
304,312
14,313
262,313
3,314
19,314
28,315
155,315
237,315
262,315
111,316
293,316
204,317
3,318
290,318
305,318
276,319
10,320
30,320
44,320
112,320
128,320
204,320
60,321
160,321
310,321
90,323
84,324
194,324
261,324
