"id","age","female","education","happy_t0","happy_t1"
1,86,0,5,23,39
2,56,1,1,25,71
3,82,1,1,22,45
4,76,0,4,30,97
5,76,1,2,27,49
6,35,1,5,22,37
7,64,0,1,25,56
8,57,1,2,24,52
9,68,0,2,24,53
10,25,0,3,23,38
11,84,0,4,17,5
12,39,1,2,29,52
13,25,1,2,25,68
14,28,1,1,31,65
15,42,0,4,26,48
16,42,0,2,26,26
17,74,0,5,22,21
18,57,1,1,25,46
19,78,0,2,25,30
20,58,1,3,25,55
21,89,0,3,23,52
22,79,1,4,22,44
23,74,0,4,28,51
24,18,1,4,18,22
25,49,0,4,23,43
26,36,0,4,25,53
27,23,1,2,22,27
28,87,0,2,22,32
29,25,1,2,24,44
30,45,0,4,26,58
31,39,1,3,26,62
32,64,0,2,27,65
33,72,1,3,26,49
34,29,0,2,25,66
35,53,0,2,27,33
36,44,1,5,22,49
37,90,1,3,25,54
38,85,0,3,23,54
39,39,1,5,24,28
40,90,0,1,24,58
41,60,0,3,28,51
42,32,1,4,20,11
43,40,0,3,29,60
44,73,0,4,28,45
45,84,0,5,26,40
46,76,0,2,25,50
47,65,0,2,25,64
48,89,1,2,26,53
49,77,1,2,26,43
50,88,0,3,28,57
51,72,0,1,24,72
52,66,1,2,27,61
53,64,0,1,22,52
54,57,1,1,26,52
55,69,0,3,28,28
57,46,0,5,23,36
58,38,0,1,24,50
59,39,1,1,26,86
60,20,0,4,25,29
61,21,0,2,24,54
62,22,1,1,25,63
63,84,0,1,28,74
64,53,0,4,22,21
65,69,1,3,26,62
66,24,1,3,25,32
67,67,1,5,22,50
68,84,0,5,22,42
69,63,0,2,24,62
70,30,1,5,26,76
71,23,1,1,27,57
72,87,1,4,28,65
73,64,1,1,25,37
74,63,0,4,23,47
75,36,1,5,28,63
76,78,1,4,27,48
77,36,1,4,25,72
78,80,1,3,25,61
79,31,1,3,20,41
80,40,0,4,24,54
81,32,1,2,27,72
82,27,0,3,21,41
83,75,1,2,27,52
84,87,1,3,24,72
85,87,1,5,28,76
86,38,0,5,24,53
87,83,0,5,23,45
88,87,0,4,24,53
89,66,0,5,28,28
90,62,0,5,28,38
91,38,1,5,25,65
92,66,0,4,26,80
93,45,0,3,24,60
94,27,1,3,25,68
95,81,1,5,28,37
96,86,0,2,27,80
97,74,1,2,24,58
98,69,1,3,23,56
99,49,1,2,25,46
100,29,1,5,24,36
101,59,1,4,24,26
102,22,0,2,26,56
103,82,1,1,27,61
104,69,1,1,24,36
105,70,0,4,30,56
106,18,1,3,25,56
107,53,0,2,26,44
108,50,0,4,24,61
109,57,0,5,25,43
110,65,0,5,25,46
111,90,0,1,28,53
112,58,1,2,22,36
113,32,0,1,26,68
114,51,1,5,25,45
115,53,0,3,29,72
116,82,1,3,25,49
117,32,0,3,23,66
118,78,0,1,24,40
119,61,0,3,23,65
120,68,1,5,25,35
121,20,1,4,23,23
122,59,1,5,24,36
123,87,0,1,23,33
124,37,1,5,27,39
125,86,0,4,24,44
126,68,0,1,27,55
127,89,1,4,26,44
128,86,0,3,27,53
129,80,1,4,24,48
130,66,1,4,28,60
131,31,0,4,23,39
132,59,0,2,26,38
133,47,0,3,20,12
134,25,0,4,31,73
135,33,0,5,22,34
136,67,0,5,24,47
137,36,0,4,22,34
138,19,1,3,25,46
139,88,0,2,26,50
140,52,1,3,25,77
141,69,1,2,28,62
142,63,0,4,28,50
143,46,0,2,26,56
144,35,1,4,26,45
145,63,1,1,29,76
146,31,0,5,22,41
147,26,0,1,24,75
148,45,1,1,22,42
149,30,0,2,30,63
150,72,0,2,22,53
151,81,0,1,22,45
152,29,0,5,26,36
153,65,1,5,29,75
154,87,1,2,25,51
155,52,1,2,23,39
156,38,1,3,23,55
157,36,0,2,22,58
158,70,0,4,22,51
159,76,1,5,22,42
160,53,0,4,24,58
161,49,0,2,27,41
162,29,1,2,26,73
163,46,1,4,25,52
164,22,1,5,25,48
165,49,0,4,27,46
166,61,1,4,25,52
167,52,1,4,24,31
168,57,0,4,26,55
169,44,1,1,25,50
170,80,1,3,29,73
171,27,1,5,25,46
172,77,0,4,23,41
173,90,1,2,24,45
174,50,0,2,23,63
175,35,0,1,21,41
176,88,1,5,27,38
177,61,0,1,23,58
178,82,0,1,28,67
179,37,0,3,21,34
180,80,0,5,24,78
181,71,1,1,27,85
182,36,1,2,24,30
183,70,0,2,22,32
184,38,0,3,28,52
185,72,1,3,26,42
186,72,1,5,23,50
187,55,1,3,25,49
188,18,0,1,20,42
189,71,0,3,21,51
190,38,1,2,27,58
191,77,0,1,26,35
192,86,1,5,21,57
193,72,0,3,28,79
194,23,0,1,25,57
195,90,1,2,26,32
196,27,0,5,21,49
197,51,1,2,23,50
198,38,1,2,26,64
199,72,0,5,23,60
200,19,1,2,25,61
201,88,1,3,25,59
202,47,1,5,26,75
203,32,1,2,27,44
204,79,0,5,26,48
205,66,0,2,28,65
206,59,1,1,27,55
207,58,0,4,25,42
208,67,0,1,24,51
209,33,1,1,25,41
210,52,1,3,23,49
211,48,1,2,25,61
212,33,1,1,23,30
213,68,0,3,25,42
214,25,1,3,22,31
215,23,1,2,20,44
216,26,1,1,29,54
