"id","age","female","education","happy_t0","happy_t1"
1,90,1,2,38.5212288234043,56.7149671922931
2,39,0,4,51.8512384471012,60.8093138220519
3,75,1,4,26.1612333555073,35.5550612195261
4,57,1,1,62.2900287572729,60.3371744847118
5,47,0,4,28.9361715151881,61.1898401641107
6,67,0,1,60.0424162102279,64.1391193781822
7,71,0,1,76.1932526199557,48.2384721023825
8,36,0,4,42.0776319863095,42.3218129968336
9,50,1,1,69.287755756248,62.5435690742571
10,42,1,4,51.0341698600978,49.1693431248894
11,54,0,5,44.9264903649875,58.3050416150379
12,88,0,2,48.6355616736265,57.2285052042436
13,25,1,3,68.0877244921951,86.3619525981431
14,60,1,2,79.6365192894581,63.706976244485
15,90,1,5,36.0347022965758,61.9841750141266
16,64,1,2,53.914486163859,57.6546448572793
17,70,1,5,44.0986259374801,31.2797491333249
18,64,1,3,50.301740036533,67.7751768405553
19,82,1,3,33.6151429691553,29.3130497283645
20,77,0,1,59.863043808091,39.1802445632409
21,89,0,4,47.866629204045,59.4013809440843
22,87,1,1,39.5192336118503,32.1676178309765
23,46,1,2,49.5756584315302,50.7766887156624
24,51,1,2,61.447369523131,25.9059747436914
25,31,1,5,35.0143613163883,30.7172547864751
26,65,1,5,29.2072219018757,24.3055856012139
27,78,1,5,42.33503954134,57.2609650667888
28,84,1,5,50.0075896961778,55.2231000731515
29,22,1,3,54.3922423844913,57.3659544602131
30,65,1,5,71.4204207880582,51.0033342497995
31,83,1,1,67.0385301633389,77.4804607552577
32,26,0,3,79.0896789784501,48.638784973727
33,49,0,4,43.0662530106573,35.726933826549
34,30,0,5,36.8392414269927,7.77845584368653
35,40,1,3,22.7162306905104,42.3193346069702
36,85,0,2,35.0960253472613,48.0177727264713
37,21,0,1,40.1947453037036,68.0597319051327
38,30,0,5,36.0270322314899,36.4244886081791
39,77,1,2,52.9945315859469,55.724988819006
40,53,0,1,45.0407830307569,66.2318505716627
41,75,1,3,71.1368850083516,62.4529309776392
42,34,0,3,72.9973273709388,44.6822884194707
43,68,1,4,45.4760247054016,36.0339370144941
44,38,0,2,29.6913859275233,55.9248998218813
45,76,1,5,56.7361481767012,66.5396013673666
46,74,1,3,91.5441313950552,58.437067592534
47,25,0,2,40.2575982411448,36.6580546211263
48,87,0,3,54.6626878153307,27.5479311070801
49,82,1,2,58.795055875475,37.4856114607847
50,23,0,2,33.208506778925,24.7059381948028
51,75,0,1,75.3608076621101,70.2095350547488
52,44,1,1,57.4130588083135,51.9384400375407
53,52,1,3,40.6897508194638,23.4215474465156
54,56,0,4,80.1551287590177,51.9996662696075
55,47,1,1,63.6895357999017,47.7001928648548
56,82,1,2,60.785575934604,38.8351190008282
57,54,1,2,24.7034208953828,26.9710952439811
58,40,0,5,57.2516441037408,48.9220219257837
59,80,0,5,54.8569889989159,28.7504883909848
60,87,1,4,41.8461094317002,41.1597196158433
61,43,1,4,72.0400052057243,66.4237053499093
62,84,0,3,43.4847404120022,52.7975714593092
63,70,0,5,24.0619533374991,44.1740690447849
64,72,0,5,50.5392576008758,32.9884228651937
65,74,1,3,47.9928977875671,65.4024997219921
66,85,1,1,66.0252393536607,54.1908751292537
67,84,0,2,64.3302672018168,79.6624373071108
68,43,0,1,53.0170679616734,95.9984637294468
69,50,1,5,48.4039444980384,38.2702432186598
70,68,0,2,41.0718910271495,78.4024848915493
71,83,1,1,64.9949258546784,48.5081389644514
72,81,1,1,32.3912275114154,57.2877497146739
73,47,1,3,58.6896772400023,35.4937382920729
74,34,0,4,39.1305266993853,35.5794338381217
75,33,1,5,52.3938251874568,45.3667845356833
76,37,0,3,53.7484331428244,40.2843247922182
77,52,1,3,20.5093915798874,24.8241646214746
78,54,0,1,44.2149561554897,68.3255693193934
79,45,1,1,39.9173644437094,54.4052399511916
80,53,0,1,61.6503922895318,52.3816731690846
81,40,1,5,36.7435465259599,54.2953796382381
82,82,1,4,46.8576602163743,44.1365843820797
83,60,1,1,45.1854483969921,58.2928737893807
84,22,1,4,42.398219763217,26.5114860005003
85,68,1,3,50.6847687944831,78.5572228796953
86,34,0,5,31.568718114778,56.0828707390162
87,71,1,1,63.6234804734758,77.6022844994551
88,80,1,5,45.4846045292971,41.5226773702953
89,44,0,4,64.6854698666037,34.6273447264637
90,72,0,5,50.9010916585414,49.7445284382476
91,22,0,1,50.2402786111133,34.8087619349552
92,49,1,5,26.1559718386957,39.9192731721056
93,67,1,5,51.3589807799341,60.5974464976041
94,54,0,2,53.5112591906202,49.0711436590219
95,47,0,3,30.7422901050164,35.1594147612435
96,79,0,5,42.9547291962333,35.3898240545434
97,73,1,1,41.1781792413346,27.6071946972044
98,72,1,2,69.6711763474463,62.0266413732505
99,21,0,1,61.5603319333515,44.6012606515998
100,53,1,3,38.3420598026206,38.0649403968183
101,88,0,4,57.2180049391371,39.4234481834634
102,37,0,2,51.259485127549,57.7575903496428
103,50,0,5,21.158440936324,39.8245513581783
104,59,1,1,47.9447209060141,47.5448554700552
105,36,0,3,67.6598704373017,49.2989551474558
106,76,1,1,82.6434817933027,61.2354734131451
107,25,1,4,8.83036343188015,30.9142528215511
108,25,1,5,12.274678861492,30.4941986908949
109,21,0,3,48.9514679962539,55.1186784253248
110,31,1,2,74.2086241277847,40.8502005989423
111,66,0,2,47.5193326451592,47.4143312099912
112,28,0,4,40.3605538785614,46.9264896618101
113,23,0,4,57.7231966183247,53.7207013504828
114,58,0,1,37.4827509212556,53.0014454731473
115,44,0,3,44.1452568379894,17.1097808348271
116,30,1,1,81.0559671154743,69.559973351067
117,22,1,3,53.3234184915643,52.1275867927915
118,87,1,4,69.3185600988696,41.1690187721091
119,40,0,3,40.1067837388463,34.7398294314208
120,47,0,1,64.972576163711,56.0886970698081
121,81,0,1,47.3857897287978,57.2888875745158
122,35,0,2,20.3607504133915,48.6919102961439
123,46,1,4,23.3249636183505,28.9000995386783
124,59,0,1,55.6494290818934,72.090909961955
125,62,0,1,51.649793361287,58.7620066141582
126,78,1,2,34.1327148359611,46.0891417409495
127,68,0,3,42.087926762697,19.8475445662251
128,48,1,2,50.7840025192806,54.2529419913687
129,88,1,5,13.2951991284626,18.0907821450126
130,72,1,2,27.5260407284078,30.0382744459686
131,79,0,2,42.0239822788086,39.9171786832021
132,31,0,1,69.2421491611212,54.7405432337783
133,68,0,2,49.6732948614779,27.2715988701563
134,47,1,4,58.7095957131495,59.2999256162617
135,51,1,3,40.8161043202733,52.1373557145489
136,61,1,1,50.3387063016991,35.078934940753
137,77,1,4,17.9767492887816,12.8184914853097
138,57,1,3,49.2683082564673,44.355434722016
139,23,1,1,54.9917092473903,39.3336282387772
